ID,Question Text,Question Answer,Reference Document,Paragraph(s) Number,Keywords
Q762,"Who is classified into three categories in Buruli ulcer (BU) case management, and what are the criteria for each category?","Patients are classified into Category I (single lesion <5 cm), Category II (single lesion 5-15 cm), and Category III (single lesion >15 cm, multiple lesions, or lesions in critical sites). Criteria include lesion size and location.",TG Booklet 6,149,BU Case Management: Classification Criteria
Q1133,What are the main and specific objectives of tailoring IDSR to an emergency context?,"The main objective is to rapidly detect and control acute public health events of any origin, particularly prioritized health risks. Specific objectives include early detection of public health events, ensuring communication, verifying initial information, documenting the nature of the event, performing risk assessment, ensuring immediate alert mechanisms, prompt investigation, and maintaining communication/coordination with stakeholders.",TG Booklet 5,100-110,"IDSR Tailoring, Emergency Context, Detection, Control, Public Health Events, Communication, Verification, Documentation, Risk Assessment, Alert Mechanisms, Investigation, Stakeholders"
Q566,Is there a Tuberculosis (MDR and XDR TB) case-based reporting form available in the TG?,"Yes, Page 252 of TG Booklet 6 Section 11",TG Booklet 6,80,"TG, Tuberculosis Case-based Reporting Form, Page 252, Booklet 6, Section 11"
Q45,How many steps does EBS system have?,The EBS has 5 steps: Establish EBS Hotlines and media scanning; detect rumours and alerts; register alerts; conduct traging of EBS alerts; COnduct risk assessment and characterisation and conduct verification of EBS alerts.,TG Booklet 2,178 - 184,"EBS System, Steps (expanded), Establish EBS Hotlines, Media Scanning, Detect Rumors And Alerts, Register Alerts, Conduct Tracing, Risk Assessment, Verification"
Q329,"When asking about recent living arrangements, what specific information should be obtained?","Regarding recent living arrangements, inquire about the patient's residence at the time of infection.",TG Booklet 3,281,"Living Arrangements, Infection Time, Patient Residence"
Q679,What are the potential severe sequelae for chronic hepatitis B?,"Cirrhosis or hepatocellular carcinoma, with an estimated 15% to 25% of chronically infected persons dying prematurely.",TG Booklet 6,125,"Cirrhosis Or Hepatocellular Carcinoma, With An Estimated 15% To 25% Of Chronically Infected Persons Dying Prematurely."
Q129,What action is taken if an alert is NOT a TRUE EVENT in community alert and verification?,"If an alert is NOT a TRUE EVENT, the community is informed, and no investigation is required.",TG Booklet 2,,"Action, NOT TRUE EVENT, Community Alert, Verification"
Q265,How is the investigation of suspected outbreaks and public health events approached in Section 4?,"The investigation of suspected outbreaks and public health events in Section 4 involves steps such as mobilizing public health emergency rapid response teams, specifying tasks, defining supervision and communication lines, obtaining authorizations, finalizing forms and methods for data collection, arranging transportation, and gathering necessary supplies.",TG Booklet 3,17-26,"Section 4, Suspected Outbreaks, Public Health Events, Mobilization, Tasks, Supervision, Communication, Authorizations, Data Collection, Logistics"
Q141,What are the key aspects covered in Section 3 of Module 3 (Analyse and Interpret Data) of the guidelines?,"Section 3 of Module 3 covers the analysis and interpretation of data. It emphasizes the importance of not only collecting, recording, and reporting numerical information but also analyzing it at each level where it is collected. The analysis is crucial for observing trends over time, alerting health staff and stakeholders about emergent events or unusual patterns, identifying areas at higher risk, characterizing personal variables, and monitoring and evaluating public health interventions.",TG Booklet 2,730-736,"Analysis Plan, Routine Surveillance Information, Annex 3A"
Q516,Does the TG contain case definitions for Acute and chronic viral hepatitis?,"Yes, Page 9 of TG Booklet 6 Section 11",TG Booklet 6,19,"TG, Acute And Chronic Viral Hepatitis, Case Definitions, Page 9, Booklet 6, Section 11"
Q35,What defines a suspected case?,A suspected case will have fewer symptoms or atypical clinical features without confirmation or it is linked epidemiologically to a probable or confirmed case.,TG Booklet 2,154,"Suspected Case, Symptoms, Clinical Features, Epidemiologically, Probable Case, Confirmed Case."
Q285,What does Section 4.0 focus on?,Section 4.0 focuses on investigating and confirming suspected outbreaks and other public health events.,TG Booklet 3,176,"Section 4.0, Focus, Investigating, Confirming, Suspected Outbreaks, Public Health Events"
Q200,How can the percentage of cases occurring within a given age group be calculated?,"To calculate the percentage of cases within a given age group, divide the total number of cases within the age group by the total reported cases and multiply by 100.",TG Booklet 2,852 - 856,"Calculating Percentage Of Cases In An Age Group, Total Cases, Total Reported Cases"
Q578,"What does AFP stand for, and where can I find its meaning in the TG?",Acute Flaccid Paralysis,TG Booklet 6,106,"AFP, Acute Flaccid Paralysis, TG Meaning"
Q864,When and how should blood glucose specimens be collected and processed for epilepsy confirmation?,Blood glucose specimens should be collected during the emergency admission of the patient (random blood glucose) and confirmed subsequently (fasting blood glucose). Universal precautions should be used to minimize exposure to sharps and bodily fluids during specimen collection.,TG Booklet 6,184,"Blood Glucose Specimen Collection, Processing, Emergency Admission, Random Blood Glucose, Fasting Blood Glucose, Universal Precautions, Exposure Minimization"
Q48,What is the significance of risk mapping in the context of updating the catchment area description?,"Risk mapping is important for assessing public health threats, including chemical, zoonotic, radiological, and nuclear hazards.",TG Booklet 2,190,"Risk Mapping, Catchment Area Description, Public Health Threats, Chemical Hazards, Zoonotic Hazards, Radiological Hazards, Nuclear Hazards"
